name,lastname,gender,ethnicity,language,month,day,year
Tom,Dotts,male,Other,spanish,September,8,1954
Gerald,Dotts,male,Hispanic,spanish,January,22,1986
Alex,Anderson,male,African_American,french,January,12,1964
Riley,White,female,White,french,March,19,1984
Emily,Clark,female,Other,english,November,22,1990
John,Morrow,male,White,english,May,19,1984
Mark,Marshall,male,White,french,November,1,1959
Alexis,Wilson,male,African_American,english,August,14,1977
Andrew,Wilson,,African_American,english,January,30,1996
Mark,Hall,male,Hispanic,other,July,26,1974
Andy,White,female,African_American,french,June,11,1984
Dean,Lee,male,Other,english,July,4,1994
Mark,Walter,male,White,english,March,6,1986
Alexis,OBrien,female,Other,other,January,9,1965
Alexander,Western,male,African_American,english,February,2,1994
Ryan,Howard,male,Other,other,August,1,1974
Charles,Butler,male,White,english,August,19,1992
Veronica,Gardner,female,Other,spanish,October,24,1990
Alex,Taylor,female,White,french,October,10,1968
Jimmy,Dick,male,White,other,January,13,1997
Carla,Walker,female,White,english,November,22,1972
Valerie,Adams,female,White,other,October,9,1989
Madison,Walter,female,White,french,January,21,1970
Madison,Curry,female,African_American,other,April,14,1977
Alexander,Walker,male,African_American,english,March,30,1956
Andrea,Davis,female,Hispanic,spanish,August,5,1975
Hunter,Butler,female,White,other,November,2,1961
Kevin,Lee,male,African_American,french,November,26,1977
Don,Walker,male,Other,other,March,30,1993
Blake,Marshall,male,Other,french,February,6,1967
Alexis,Marshall,male,Hispanic,english,July,4,1982
Sara,Western,,African_American,spanish,December,4,1986
Jacky,Lopez,female,White,other,April,24,1969
George,Collins,male,Other,spanish,July,10,1967
Michael,Anderson,male,Hispanic,spanish,July,22,1977
Peter,Wilson,male,African_American,english,December,3,1977
Hunter,Evans,male,African_American,spanish,December,9,1983
Mark,Douglas,male,Other,french,January,31,1985
Riley,Miller,male,Hispanic,spanish,July,1,1978
Steven,Tyler,male,Hispanic,spanish,February,15,1969
Dean,Carter,male,White,other,June,18,1991
Alex,Anderson,female,African_American,french,September,13,1964
Alex,Lopez,female,White,french,November,27,1958
Jimmy,Jones,male,Hispanic,spanish,December,1,1951
Gabriela,Wang,female,African_American,english,January,24,1971
Emily,Reynolds,female,African_American,other,June,4,1977
Alex,Brooks,female,Other,english,November,27,1959
Andy,Moore,male,African_American,french,May,27,1989
Jake,Lopez,male,White,other,January,30,1989
Alex,Franklin,male,Other,french,November,19,1953
George,White,male,White,english,November,7,1982
Peter,Taylor,male,Other,french,May,5,1996
Jake,Hodge,male,African_American,english,November,1,1992
Barbara,Dotts,female,White,english,August,13,1986
Alexandra,Anthony,female,Other,other,February,11,1997
Eva,Adams,female,Hispanic,spanish,November,20,1973
Sheila,Swift,female,African_American,other,August,31,1963
Andy,Morrow,male,Hispanic,spanish,February,6,1995
Andy,Swift,male,Other,french,February,6,1958
George,White,male,Hispanic,spanish,February,28,1982
Ryan,Young,male,White,other,November,5,1964
Mark,Phillips,male,White,french,July,24,1974
Jimmy,Douglas,male,Other,french,September,17,1985
Sophie,Walsh,male,Hispanic,spanish,November,8,1984
Jimmy,Young,male,White,other,April,1,1964
Brett,Scott,male,African_American,english,December,11,1958
Elizabeth,Lee,female,White,english,September,16,1969
Alexis,Dotts,male,White,english,July,29,1986
Madison,Brooks,female,Other,english,September,13,1968
Bridget,Walker,female,African_American,french,October,17,1967
Blake,Anthony,male,White,french,April,18,1967
Don,Phillips,male,White,english,July,31,1979
Mark,Douglas,male,White,english,November,13,1965
Edward,Butler,male,Other,spanish,January,21,1961
Danielle,Lewis,female,White,other,May,24,1961
Elizabeth,Reynolds,female,Other,spanish,January,12,1979
Paul,Evans,male,Hispanic,spanish,February,13,1963
Danielle,Howard,female,African_American,english,May,30,1997
Georgia,Jones,female,Other,french,March,7,1997
Alexander,Anderson,male,White,english,October,31,1965
Franklin,Wilson,male,Other,other,June,13,1974
Sheila,Moore,female,Other,english,August,31,1986
Caleb,Wang,male,Other,spanish,January,13,1981
Franklin,Hodge,male,African_American,english,July,28,1992
Marcy,White,female,White,french,February,14,1963
Joe,Walker,male,White,english,September,16,1978
Eva,Anthony,female,Other,other,November,20,1987
Alexis,Swift,male,White,english,May,1,1986
Brandon,Reynolds,male,African_American,other,April,22,1977
Riley,Young,female,Other,spanish,March,19,1981
Riley,Douglas,female,White,french,February,31,1951
Tom,Anthony,male,African_American,english,December,4,1970
Lisa,Phillips,female,African_American,other,July,24,1983
John,Anderson,male,Other,spanish,September,9,1981
Andy,Moore,female,African_American,other,November,29,1985
Alex,OBrien,male,Other,spanish,January,12,1995
Joshua,Anderson,male,Hispanic,spanish,August,4,1977
Nathan,Casey,male,White,other,October,2,1970
Linda,Miller,female,Hispanic,spanish,March,13,1978
Emily,Wang,female,White,french,December,24,1981
Alexander,Clark,male,White,english,March,30,1978
Diana,Morrow,female,White,other,December,26,1976
Riley,Western,male,White,other,October,1,1962
Katy,Howard,female,African_American,spanish,April,25,1983
Alexandra,Anthony,female,Other,english,June,16,1953
Alexis,Evans,female,Hispanic,spanish,February,4,1963
Valerie,Adams,,Hispanic,english,March,14,1993
Alexis,Davis,female,African_American,other,February,31,1997
Donald,Young,male,African_American,french,February,24,1954
Jimmy,Collins,male,Other,english,September,17,1977
Georgia,Brown,female,African_American,other,September,23,1992
Lisa,Jackson,female,African_American,french,April,6,1981
Lisa,Thomas,female,African_American,french,July,20,1974
Charles,Wilson,male,White,french,January,15,1976
Brandon,Butler,male,White,english,April,22,1992
Kevin,Reynolds,male,White,other,May,9,1993
Matthew,Walker,male,Hispanic,other,September,11,1989
Valerie,Tyler,female,White,english,January,29,1997
Diana,Walsh,female,Other,english,July,24,1987
Alexis,Miller,male,Hispanic,spanish,August,3,1986
George,Walsh,male,White,french,September,29,1958
Blake,Wang,male,Other,french,February,6,1993
Caleb,Dick,male,White,english,September,24,1965
Linda,Smith,female,White,french,April,28,1995
Georgia,Butler,female,Other,french,September,23,1983
Paul,Gardner,male,Hispanic,spanish,June,24,1960
Chris,Hall,male,White,english,September,9,1962
Riley,Smith,male,Other,english,January,16,1970
Brandon,Brooks,male,Other,french,April,10,1969
Ryan,Smith,male,Other,spanish,January,20,1956
Peter,Anthony,male,White,french,February,31,1952
George,Western,male,African_American,other,March,30,1956
Hunter,Thomas,male,African_American,french,March,26,1974
Blake,Butler,male,African_American,other,August,4,1977
John,Walker,male,Other,english,May,30,1990
Brian,Wang,male,Other,spanish,May,19,1981
Gerald,Evans,male,Other,other,July,25,1982
Brett,Wang,male,White,french,December,11,1981
Brad,Clark,male,African_American,other,August,3,1982
George,Morrow,,African_American,english,December,16,1962
Emily,Walter,female,White,french,July,2,1970
Joseph,Adams,male,Hispanic,spanish,March,1,1973
Brian,Morrow,male,Hispanic,spanish,May,10,1973
Chris,Lee,male,Other,french,October,14,1973
Andrew,Young,female,Hispanic,english,June,19,1994
Carlos,Casey,male,Other,english,July,22,1950
George,Moore,male,White,french,September,29,1968
Jacky,Moore,female,Other,english,December,14,1969
Blake,Jackson,male,White,other,April,31,1965
Jimmy,Phillips,male,White,other,December,1,1983
Andy,Taylor,male,Other,english,May,27,1955
Kevin,Clark,male,White,french,October,19,1953
George,Curry,male,African_American,other,November,7,1979
Marcy,Lopez,female,White,other,February,14,1969
Brett,Thompson,male,African_American,other,September,12,1960
James,Walker,male,Other,english,November,8,1977
John,Martin,,Other,french,July,25,1955
Andy,White,male,White,english,June,31,1981
Carla,Swift,male,White,english,July,8,1982
John,Swift,male,African_American,french,August,23,1979
Veronica,Curry,female,African_American,other,October,24,1979
Riley,Morrow,male,White,spanish,April,5,1960
Blake,Swift,female,Other,spanish,December,24,1968
Alexis,Smith,male,Other,french,August,14,1951
Madison,Marshall,female,White,english,May,17,1957
Brandon,Curry,male,White,french,January,31,1993
Hunter,Johnson,male,African_American,other,March,26,1980
Paul,Walter,male,White,english,June,10,1988
Khalil,Casey,female,Other,spanish,September,18,1983
Jimmy,Johnson,male,African_American,other,June,11,1980
Brian,Brooks,male,Other,english,May,10,1968
Stacey,Evans,female,African_American,other,January,21,1980
Jake,Reynolds,male,Hispanic,spanish,December,5,1983
Anthony,Walker,male,Other,other,July,20,1959
Sara,Walker,female,White,other,December,9,1982
Luke,Evans,male,Other,spanish,October,11,1951
Jimmy,Swift,male,White,english,June,11,1986
Jake,Hodge,male,White,french,November,3,1985
George,Franklin,male,Other,english,November,7,1993
John,Young,male,White,other,January,18,1987
Stephen,Hall,male,Other,english,March,13,1988
Peter,Douglas,male,White,english,February,31,1965
Kevin,Clark,male,Other,other,April,30,1981
Alexis,Swift,female,African_American,other,April,16,1960
Emily,Wang,female,African_American,english,November,22,1971
Riley,Morrow,male,African_American,english,July,1,1967
Tom,Evans,male,White,other,February,4,1993
Gerald,Walker,male,African_American,french,April,20,1984
Chris,Walker,male,Hispanic,spanish,December,20,1954
Peter,Jones,male,White,other,December,3,1955
Carla,Butler,female,Other,french,November,22,1981
Emily,Butler,female,African_American,french,November,22,1954
Travis,Brooks,male,African_American,other,June,7,1993
Donald,Johnson,male,African_American,other,February,24,1980
Robert,Harris,male,White,other,November,31,1979
George,Young,male,White,french,June,4,1953
Ivy,Moore,female,Other,other,August,6,1983
Carl,Walter,male,White,french,June,13,1970
Madison,Moore,female,White,french,June,28,1968
Katelyn,Evans,male,Hispanic,french,September,2,1960
Dean,Clark,male,White,french,June,18,1953
Kevin,Dotts,male,African_American,other,February,17,1997
Alexis,Phillips,female,African_American,french,November,15,1980
Peter,Walker,male,African_American,english,June,23,1956
Eva,Harris,female,Other,spanish,March,12,1994
Alexis,Wilson,female,African_American,french,January,12,1965
Eva,Anderson,,Hispanic,french,May,10,1956
Alexander,Lopez,male,White,other,September,2,1989
Hunter,Hodge,female,Other,english,March,4,1958
Lisa,Carter,female,African_American,english,July,20,1976
Joseph,Walter,female,African_American,french,March,18,1979
Riley,Brooks,female,White,english,April,1,1950
Hector,Brown,male,Other,english,May,17,1952
Katy,Moore,female,African_American,other,March,14,1985
Brian,Jackson,male,Other,english,April,28,1970
April,Johnson,female,White,other,August,1,1973
Emily,Smith,female,White,french,November,22,1995
Lisa,Martin,female,White,english,July,24,1960
Hector,Thomas,male,African_American,other,January,8,1996
Jacky,Curry,female,African_American,other,December,14,1960
Barbara,Martin,female,Other,other,December,5,1997
Hunter,Carter,male,African_American,english,July,23,1976
Paula,Franklin,female,African_American,english,July,16,1968
Sheila,Adams,female,White,other,September,15,1989
Barbara,Thompson,female,African_American,other,October,22,1960
Paola,Phillips,female,White,other,July,22,1983
Khalil,Butler,male,African_American,other,April,13,1977
April,Walker,female,African_American,other,September,13,1960
Alex,Curry,female,Other,french,November,27,1955
Stephanie,Franklin,female,Hispanic,other,July,29,1957
Peter,Butler,male,African_American,english,September,3,1990
Peter,Casey,male,African_American,french,May,5,1960
Blake,Dotts,male,African_American,other,April,31,1997
Stephen,Walker,male,Other,other,August,18,1989
Khalil,Smith,male,Other,english,September,15,1970
Travis,Martin,male,White,english,June,7,1959
Edward,Harris,male,Other,english,January,21,1972
Mark,Jones,male,Other,french,January,8,1997
Enrique,Marshall,male,Other,french,July,25,1967
Edward,OBrien,male,Other,other,January,21,1965
Eva,Lee,female,African_American,french,July,13,1977
Chris,Franklin,male,White,other,March,10,1964
Andrea,Smith,female,Other,spanish,November,12,1971
Don,Walsh,male,Other,english,March,30,1972
Edward,Anderson,male,Hispanic,spanish,January,21,1977
Walter,Phillips,male,Other,french,December,30,1977
Riley,Walker,male,Other,spanish,October,8,1983
Elizabeth,Lopez,female,White,english,April,7,1955
Emily,Morrow,female,White,other,July,2,1969
Diana,Howard,female,Hispanic,spanish,March,10,1980
Robert,Young,male,White,other,November,31,1987
Blake,Franklin,female,Other,other,June,4,1993
Carla,Walker,female,African_American,other,November,22,1960
Joe,Davis,male,White,other,April,20,1962
Gracie,Miller,female,African_American,english,December,2,1992
April,Gardner,female,White,english,September,13,1958
Andy,Taylor,male,Other,english,May,27,1955
Gabrielle,Wilson,male,African_American,french,July,15,1974
Marcy,Swift,female,Other,french,October,5,1950
Joseph,Western,male,Hispanic,spanish,September,7,1989
Ivy,Lee,female,White,english,December,31,1969
Jake,Young,male,Other,spanish,November,3,1981
Tom,Phillips,male,White,other,September,8,1983
Alex,Taylor,female,White,french,May,17,1968
Katy,Butler,,White,other,May,24,1990
Alex,Moore,female,Other,english,October,10,1986
Andy,Butler,female,Other,spanish,November,29,1981
Khalil,Howard,female,Other,other,May,1,1961
Carl,Johnson,male,White,other,April,3,1973
Jake,Evans,male,Hispanic,spanish,November,1,1963
Jimmy,Dotts,male,African_American,other,June,11,1952
Donna,Jackson,female,African_American,english,March,5,1979
Peter,Hodge,male,African_American,other,May,5,1951
Jason,Lewis,male,Hispanic,spanish,February,5,1984
Steven,Brooks,male,African_American,other,February,15,1993
Carol,White,male,White,other,September,2,1982
Gael,Walker,male,African_American,english,February,18,1956
George,Walker,male,Hispanic,spanish,July,30,1950
George,OBrien,,Other,french,June,21,1996
John,Tyler,male,White,spanish,December,17,1964
Alexis,Franklin,male,Other,french,July,29,1956
Karla,Butler,female,Other,other,September,11,1956
Blake,Curry,male,Other,french,August,4,1987
Eva,Lopez,female,White,other,March,12,1969
Steven,Franklin,male,White,other,July,26,1987
Jimmy,Wilson,male,Other,other,April,1,1954
Ivy,Brooks,female,Other,french,December,31,1969
Gerald,Taylor,male,White,other,May,24,1960
Hunter,Smith,female,White,french,December,22,1995
Khalil,Western,male,Other,spanish,February,10,1960
Hunter,Anderson,female,Other,spanish,April,3,1981
Alexis,Evans,male,Hispanic,spanish,May,5,1963
Stephanie,Moore,female,White,english,April,11,1951
Paola,Carter,female,Other,english,November,19,1989
Marcy,Swift,female,Hispanic,spanish,July,18,1979
Hunter,Walker,female,African_American,other,November,2,1953
Alexis,Swift,female,African_American,french,December,22,1978
Emily,Evans,female,Hispanic,spanish,February,5,1963
Chris,Butler,male,African_American,other,March,10,1977
Carol,Jones,,Other,spanish,July,1,1954
Dorothy,Tyler,female,Hispanic,spanish,June,18,1958
Brenda,Walker,male,African_American,english,April,6,1960
Paula,Clark,female,Other,spanish,July,16,1956
Carl,Walker,male,White,other,April,3,1958
Andy,Dotts,male,Other,spanish,May,27,1993
Natalie,Lee,female,African_American,english,October,13,1974
Don,Thomas,male,White,french,July,31,1963
Don,Miller,female,Other,french,April,10,1984
Chris,Taylor,male,Other,english,December,20,1980
George,Lee,male,Other,other,September,25,1960
George,Jones,male,White,french,November,7,1990
Alexis,White,female,Other,french,April,15,1985
Alex,Reynolds,male,White,french,July,7,1956
Walter,Lewis,male,African_American,other,March,13,1967
Paula,Adams,female,White,other,July,2,1963
Alex,Adams,female,Hispanic,spanish,January,24,1963
Riley,Lopez,female,Other,spanish,January,11,1992
Gerald,Moore,male,White,french,January,22,1968
Alex,Thomas,female,African_American,other,January,5,1977
Joseph,Moore,male,Other,english,June,7,1952
Madison,Brooks,female,Other,english,September,13,1968
Valerie,Johnson,female,African_American,other,January,29,1968
Riley,Miller,female,Hispanic,spanish,December,24,1978
Alexis,Hodge,male,Other,french,March,9,1960
Enrique,Thomas,male,African_American,french,December,12,1995
Gael,Lewis,male,White,english,December,24,1984
Jimmy,Lopez,male,White,french,January,13,1958
Brett,Martin,male,White,english,December,11,1960
Alexis,Phillips,female,White,other,October,12,1983
Peter,Carter,male,African_American,english,February,31,1976
Blake,Curry,female,Hispanic,spanish,December,24,1996
Linda,Adams,female,White,other,May,14,1954
Sara,Walker,female,Other,other,April,15,1993
Brandon,Dotts,male,African_American,french,July,5,1959
Stephanie,Martin,female,Other,french,August,10,1993
Stephanie,Anderson,female,Hispanic,spanish,August,10,1977
Bridget,Curry,female,Hispanic,spanish,October,17,1996
Walter,Walter,male,White,english,May,7,1988
George,Lee,male,Other,spanish,July,10,1954
Blake,Hall,female,Hispanic,spanish,November,21,1979
Ryan,Lee,male,African_American,french,September,5,1979
Peter,Anthony,male,African_American,french,December,14,1984
Marcy,Lopez,female,Other,other,August,30,1955
Paola,Jones,female,Other,french,October,13,1997
Riley,Walker,male,African_American,other,August,5,1960
John,Brown,male,Other,french,August,23,1968
Blake,Hall,male,Hispanic,spanish,June,17,1979
Alex,Lewis,female,African_American,english,October,27,1996
Don,Lewis,male,African_American,other,September,25,1967
Blake,Martin,male,Other,french,August,4,1974
Alexandra,Anderson,female,White,english,September,25,1965
Alexis,Walker,female,African_American,english,April,15,1956
Alexis,Anderson,male,White,other,November,22,1981
Robert,Davis,female,Hispanic,french,January,22,1968
Franklin,Evans,male,Other,other,September,31,1982
Enrique,Jackson,male,White,other,July,25,1965
Luke,Dotts,male,White,spanish,January,25,1980
April,Curry,female,White,french,March,21,1993
Hannah,Scott,female,African_American,english,July,5,1958
Alexis,Walker,female,White,english,December,22,1972
Gracie,Lee,female,White,other,January,23,1985
Caleb,Marshall,male,White,french,January,13,1986
Veronica,Reynolds,male,White,other,July,21,1971
Georgia,Brooks,female,African_American,other,January,20,1993
Barbara,Swift,female,Other,french,December,5,1950
Stephen,Brown,male,Other,french,May,28,1968
Georgia,Lewis,female,African_American,french,April,19,1970
Alexis,Wang,male,Other,spanish,November,29,1981
Franklin,Collins,male,Other,english,June,13,1964
Peter,Butler,male,White,english,March,9,1992
Emily,Marshall,female,Other,spanish,November,7,1956
Blake,Phillips,female,Other,french,November,21,1959
Dean,Anthony,male,White,english,February,21,1955
Caitlin,Anthony,female,Other,other,January,30,1997
Jason,Taylor,,African_American,spanish,October,21,1991
Sheila,Walsh,female,Other,other,September,15,1985
Dean,Wilson,male,Other,other,March,24,1977
John,Thomas,male,White,french,July,3,1956
Eva,Anthony,female,African_American,french,December,8,1961
Joshua,Wilson,male,Other,other,March,7,1977
Bridget,Gardner,female,White,english,December,7,1958
Barbara,Clark,female,African_American,other,December,5,1993
Michael,Harris,male,Hispanic,spanish,December,16,1979
Natalie,Franklin,female,Other,french,October,6,1956
Gracie,Young,female,African_American,french,July,22,1954
Edward,Hodge,male,African_American,english,June,30,1992
Enrique,OBrien,male,Other,other,May,12,1965
Jacky,Scott,,Hispanic,french,April,7,1975
April,Hodge,female,Other,spanish,March,21,1951
Katy,Reynolds,female,African_American,english,March,14,1963
Jimmy,Walter,male,Other,french,June,11,1996
Robert,Marshall,,Other,french,November,30,1989
Alex,Collins,female,Other,english,November,27,1963
Donald,Thompson,male,Hispanic,spanish,January,5,1964
Joseph,Anderson,female,White,english,January,8,1974
Andy,Johnson,female,Hispanic,spanish,January,5,1965
Alex,Collins,female,Other,english,January,24,1963
Nathan,Smith,male,Other,spanish,February,5,1971
Ivy,Jones,female,Other,english,December,31,1956
Hunter,Hall,,White,other,May,13,1967
Bridget,Butler,female,Other,french,December,7,1990
Madison,Thomas,female,African_American,other,April,14,1977
Dean,Young,male,Hispanic,spanish,March,31,1984
Paul,Franklin,male,African_American,english,December,17,1950
Nathan,Phillips,male,White,other,October,2,1983
Anthony,Casey,male,African_American,french,June,20,1960
Ryan,Martin,male,Other,french,January,20,1974
Jimmy,White,male,White,french,January,13,1984
Brian,Wang,male,African_American,english,April,8,1971
Joe,Marshall,male,Other,spanish,September,16,1956
Blake,Smith,male,African_American,other,February,6,1959
Andy,Harris,female,Other,english,November,29,1972
Caitlin,Douglas,female,White,french,January,30,1979
Emily,Marshall,female,Other,spanish,November,22,1956
Andy,Dotts,female,Hispanic,spanish,February,29,1986
Joe,Douglas,male,African_American,french,September,21,1951
Gracie,Lewis,female,African_American,other,July,4,1977
Gracie,Lopez,female,Other,other,January,23,1964
Paul,Walker,male,Other,other,June,10,1964
Hector,Casey,male,White,other,October,25,1970
Peter,Anderson,male,Other,spanish,February,19,1981
Tom,Phillips,male,Other,english,September,8,1961
Blake,Hodge,female,Other,english,January,22,1958
Jake,Phillips,male,Other,english,September,3,1961
Andy,Walker,male,Other,english,May,27,1977
Kevin,Taylor,male,African_American,french,February,17,1992
Alexis,Brown,female,Other,french,January,9,1968
Franklin,Lee,male,Other,english,January,15,1994
Hunter,Clark,female,Other,other,July,18,1981
Joseph,Wang,male,Hispanic,spanish,November,11,1976
Lisa,Hall,female,Other,spanish,July,24,1970
Sophie,Walker,female,Other,english,December,20,1990
Brett,Butler,male,Other,french,September,16,1981
Hunter,Curry,male,White,other,July,23,1954
Blake,Walter,female,Other,english,March,16,1981
Jacky,Curry,female,African_American,english,March,23,1989
Elizabeth,Butler,female,African_American,french,April,7,1950
Stephanie,Anderson,female,Other,spanish,December,25,1981
Dean,Howard,male,Other,english,February,21,1956
Sara,Moore,female,White,french,April,15,1968
Alex,Morrow,female,Other,spanish,September,13,1962
Andy,Walker,female,African_American,other,May,16,1960
Mark,Reynolds,male,Other,other,January,31,1965
Travis,Gardner,,Hispanic,other,January,18,1952
Brian,Carter,male,African_American,english,March,26,1976
John,Curry,male,African_American,other,July,3,1977
Katelyn,Franklin,female,African_American,english,November,22,1950
Diana,Lee,female,Other,spanish,July,24,1966
Blake,Dick,male,White,other,February,6,1997
Tom,Curry,male,Hispanic,spanish,December,4,1996
Kevin,Thompson,male,White,french,October,19,1952
Tom,White,male,Hispanic,spanish,December,4,1967
Emily,Walker,female,White,english,September,31,1967
Alexis,Taylor,male,Other,french,August,14,1996
Brian,Swift,male,African_American,other,August,22,1963
Mark,Walsh,male,Other,spanish,March,6,1988
Gerald,Reynolds,male,Other,spanish,March,3,1979
Marcy,Lewis,female,Other,spanish,October,18,1992
Dorothy,Dotts,female,African_American,other,November,11,1954
George,Morrow,male,African_American,english,November,7,1967
Andrew,Wilson,male,Other,other,August,31,1954
Peter,Lee,male,Other,french,March,9,1973
James,Casey,male,Hispanic,spanish,April,11,1956
Stephanie,Miller,female,Other,other,August,10,1992
Mark,Wang,male,Other,english,November,26,1995
Hector,Walker,male,White,english,May,17,1966
Gerald,Miller,male,African_American,english,May,24,1992
Jimmy,Walsh,male,African_American,english,June,11,1972
Barbara,Gardner,female,Hispanic,spanish,October,22,1960
Blake,Harris,female,White,spanish,January,4,1963
Hector,Young,male,Other,english,October,25,1989
Caleb,Thompson,male,Other,french,December,25,1973
Paola,Swift,female,Other,french,January,22,1987
Katy,Thompson,,Other,english,January,29,1965
Steven,Thomas,male,White,french,February,15,1963
Gabriela,Walsh,female,Hispanic,spanish,January,14,1979
Madison,Walsh,female,Other,english,April,14,1972
Brett,Dotts,male,African_American,english,September,16,1965
Emily,Evans,female,Other,spanish,June,4,1951
Donald,Phillips,male,Other,english,March,7,1961
Blake,Western,male,Other,spanish,August,4,1977
Blake,Young,male,White,other,April,31,1978
Hunter,Carter,male,African_American,english,May,4,1976
Riley,Walter,male,White,english,January,7,1988
Gabrielle,Walker,female,White,english,June,15,1972
Jake,Anderson,male,African_American,french,November,1,1964
Gerald,Smith,male,Other,french,June,3,1951
Gerald,Collins,female,Hispanic,other,October,8,1952
Hunter,Walker,male,White,english,November,28,1967
John,Butler,male,Other,spanish,September,9,1961
Brian,Scott,male,Other,english,April,8,1986
Don,Walsh,male,Other,english,September,25,1987
Riley,Anthony,female,Other,spanish,November,8,1986
Valerie,Johnson,female,Other,french,January,29,1979
Alex,Martin,female,White,english,November,11,1959
Alex,Johnson,female,African_American,other,October,27,1980
Paul,Douglas,male,White,french,February,13,1951
Mark,Walsh,male,Other,french,November,1,1978
Alex,Dotts,male,African_American,other,November,12,1997
Andy,Anderson,female,Hispanic,spanish,December,21,1955
Franklin,Lopez,male,Other,spanish,June,13,1992
Tyler,Martin,,White,english,May,5,1972
Chris,Curry,male,White,other,May,8,1954
April,Taylor,female,Other,english,January,15,1955
Donald,Walter,male,Other,spanish,January,5,1956
Gerald,Carter,male,African_American,english,June,3,1980
Jimmy,Johnson,male,African_American,french,April,1,1970
Dean,Young,male,White,other,June,18,1978
Alexis,Scott,male,Other,other,March,9,1979
Nicole,Thomas,female,African_American,french,February,8,1974
Hunter,Young,male,African_American,english,October,10,1961
Jimmy,Dotts,male,Other,spanish,April,6,1993
Brenda,Miller,male,African_American,english,June,1,1981
Joseph,Lopez,male,White,english,November,11,1955
Hannah,Lewis,female,African_American,other,July,5,1967
John,Walker,male,African_American,french,July,3,1967
Hunter,Lopez,male,White,english,May,6,1955
Hector,Lee,male,Other,french,May,17,1973
Gracie,Lewis,female,African_American,other,January,23,1977
Antonia,Jones,female,White,english,April,30,1995
Ivy,Lewis,female,White,english,August,6,1984
Paul,Morrow,male,Other,spanish,December,17,1962
Sheila,Clark,female,African_American,other,February,5,1993
Nathan,Thomas,male,African_American,english,July,16,1953
John,Clark,male,African_American,other,November,8,1982
Khalil,Thompson,male,African_American,other,September,15,1960
Peter,Taylor,male,Other,french,September,3,1996
Enrique,Miller,male,Hispanic,spanish,May,12,1986
Alexis,Jones,male,Other,english,July,29,1956
Jimmy,Phillips,male,Other,spanish,April,6,1992
Riley,Scott,female,African_American,french,November,8,1972
Andrew,Lewis,male,White,english,August,31,1984
Riley,Martin,male,Other,french,January,7,1993
Riley,Jackson,female,African_American,french,February,31,1981
Joseph,Collins,male,Other,other,September,7,1957
Hunter,Lopez,male,African_American,english,July,23,1959
Brian,Phillips,male,White,english,August,22,1979
Matthew,Butler,male,Other,spanish,October,9,1981
Diana,Taylor,female,White,english,August,14,1966
Nathan,Curry,male,White,other,October,2,1954
Robert,Carter,male,African_American,english,February,21,1980
Hunter,Moore,male,White,french,March,26,1964
Travis,Smith,male,White,french,January,6,1962
Kevin,Walsh,male,Hispanic,spanish,November,26,1979
Alex,Wilson,,Hispanic,english,August,22,1954
Anthony,Evans,male,White,other,June,20,1993
Caleb,Curry,male,African_American,french,December,25,1956
Brad,Harris,male,White,french,August,22,1978
James,Clark,male,African_American,other,April,11,1982
Anthony,Martin,male,White,english,July,20,1960
Linda,Swift,female,African_American,other,March,13,1960
Eva,Reynolds,female,White,french,January,14,1956
Veronica,Walker,female,White,english,October,24,1978
Valerie,Butler,female,Other,other,October,9,1956
Chris,Morrow,male,Other,spanish,October,14,1962
Gracie,Brown,female,African_American,other,July,22,1982
Riley,Walter,male,White,english,October,8,1986
Sheila,Douglas,female,African_American,other,March,25,1988
Stephen,Howard,male,African_American,english,October,30,1997
Jimmy,Scott,male,White,other,December,23,1950
Hunter,OBrien,male,Other,other,May,6,1965
Sara,Butler,female,African_American,french,January,18,1954
Andy,Butler,female,White,other,April,11,1961
Emily,Franklin,female,Other,other,November,22,1993
Danielle,Anthony,female,White,french,May,30,1952
Paul,Phillips,male,White,other,February,13,1983
Blake,White,female,Other,french,July,11,1985
Peter,Lopez,male,White,french,February,31,1958
Hunter,Walsh,male,African_American,english,February,18,1972
Blake,Clark,female,Other,english,March,16,1990
George,Thomas,male,White,french,September,25,1959
Robert,Anthony,male,White,other,February,21,1957
Madison,Wang,female,White,french,April,14,1981
Gracie,Dick,female,White,english,January,23,1965
Riley,Franklin,female,African_American,english,February,31,1950
Hunter,Carter,male,African_American,english,February,18,1976
John,Walker,male,African_American,french,August,23,1952
Valerie,Reynolds,female,Other,other,October,12,1971
Mark,Reynolds,male,Other,spanish,November,1,1979
Alexander,OBrien,male,Other,other,February,2,1965
Andy,Smith,female,Other,spanish,November,29,1971
Riley,Reynolds,female,Other,spanish,February,25,1979
Hannah,Walsh,female,Hispanic,spanish,July,5,1979
Michael,Wang,male,White,english,July,22,1983
Alex,Clark,male,African_American,other,November,11,1982
Sheila,Johnson,female,African_American,other,February,5,1968
Peter,Swift,male,African_American,other,March,9,1988
Riley,Brooks,female,African_American,other,March,14,1958
Sheila,Brooks,female,Other,english,September,15,1959
Alex,Casey,female,White,other,November,27,1984
Alexandra,Anthony,female,White,french,November,8,1976
Natalie,Curry,female,Other,spanish,September,2,1997
Joseph,Anthony,male,White,other,March,1,1957
Eva,Moore,female,Other,english,January,14,1965
Don,Carter,male,White,other,September,25,1979
Blake,Young,female,White,other,August,29,1964
